Crash Year,Crash Month,Crash Day,Time of Day,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Highway Class,Highway Number,Speed Limit at Crash Site,Weather Conditions (2016+),Worst Injury in Crash,Traffic Control,Trafficway,Crash Type
2012,March,26,4:00 PM - 5:00 PM,Wayne County: Inkster,Not intersection crash,Not hit-and-run,Daylight,U.S. route,M-12\US-12\US-12BL\US-12BR,40,Uncoded & errors,Possible injury (C),Signal,"Divided highway, median strip, without traffic barrier",Other / unknown
2012,January,17,7:00 AM - 8:00 AM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2012,March,3,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-3,35,Uncoded & errors,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,March,24,4:00 PM - 5:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,August,13,12:00 midnight - 1:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Other / unknown
2012,April,14,3:00 PM - 4:00 PM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,May,12,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Michigan route,M-102\US-102,40,Uncoded & errors,Fatal injury (K),None,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2012,September,21,8:00 PM - 9:00 PM,Wayne County: Livonia,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,45,Uncoded & errors,Fatal injury (K),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,December,8,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle
2012,October,1,6:00 AM - 7:00 AM,Wayne County: Dearborn,Intersection crash,Not hit-and-run,Dark lighted,U.S. route,M-12\US-12\US-12BL\US-12BR,35,Uncoded & errors,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other / unknown
2012,August,22,6:00 PM - 7:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Other / unknown
2012,October,8,6:00 PM - 7:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Uncoded & errors,No injury (O),Signal,Not physically divided (two-way trafficway),Other / unknown
2012,January,5,11:00 PM - 12:00 midnight,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,Fatal injury (K),Signal,"Divided highway, median strip, without traffic barrier",Other / unknown
2012,October,28,11:00 AM - 12:00 noon,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,One-way trafficway,Single motor vehicle
2012,April,14,12:00 midnight - 1:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Fatal injury (K),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,August,2,6:00 PM - 7:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Michigan route,M-96\I-96\I-96BS,35,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,May,3,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,August,2,4:00 PM - 5:00 PM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,July,21,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,15,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,June,26,8:00 AM - 9:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,November,16,8:00 AM - 9:00 AM,Wayne County: Lincoln Park,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle
2012,July,5,7:00 PM - 8:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Other / unknown
2012,May,5,12:00 midnight - 1:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-96\I-96\I-96BS,30,Uncoded & errors,Fatal injury (K),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2012,January,6,9:00 PM - 10:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Fatal injury (K),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,June,7,4:00 PM - 5:00 PM,Wayne County: Highland Park,Not intersection crash,Not hit-and-run,Daylight,Michigan route,M-1,35,Uncoded & errors,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other / unknown
2012,December,12,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2012,September,27,8:00 AM - 9:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-8\US-8,35,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,February,4,7:00 PM - 8:00 PM,Wayne County: Inkster,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,40,Uncoded & errors,No injury (O),Signal,Uncoded & errors,Other / unknown
2012,December,31,7:00 PM - 8:00 PM,Wayne County: Canton Twp.,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,45,Uncoded & errors,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2012,May,28,6:00 PM - 7:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,Suspected minor injury (B),None,One-way trafficway,Other / unknown
2012,February,25,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,30,Uncoded & errors,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle
